Signal (dBm),Speed (m/s),Distance from site (m),Call Test Duration (s),Call Test Result,Call Test Technology,Call Test Setup Time (s),MOS
-107,0,822.71,90,1,2,0.4,4
-107,0,822.74,90,1,2,0.43,4
-95,29.89999962,4685.49,600,1,0,0,2
-107,0,822.86,90,1,2,0.48,4
-107,0,822.87,90,1,2,0.39,4
-107,0,822.91,90,1,2,0.4,4
-107,0,822.94,90,1,2,0.47,4
-100,29.95999908,4611.36,599.31,1,2,0,4
-107,0,823.05,90,1,2,0.44,4
-107,0,823.21,90,1,2,0.4,4
-107,0,823.33,90,1,2,0.42,4
-107,0,823.45,90,1,2,0.43,4
-103,8.43999958,872.59,599.55,1,2,0,4
-107,0,823.53,80.44,1,2,0.71,4
-107,0,823.63,90,1,2,0.43,4
-107,0,823.71,90,1,2,0.52,4
-107,0,823.98,90,1,2,0.41,4
-79,29.88999939,334.69,600,1,2,0,4
-107,0,824.07,90,1,2,0.45,4
-107,0,824.13,90,1,2,0.4,4
-107,0,824.15,90,1,2,0.42,4
-107,0,824.16,90,1,2,0.39,4
-107,0,824.22,90,1,2,0.49,4
-107,0,824.22,90,1,2,0.38,4
-107,0,824.2,90,1,2,0.45,4
-107,0,824.19,90,1,2,0.47,4
-81,29.96999931,13400.4,600,1,1,0,2
-107,0,824.22,90,1,2,0.46,4
-107,0,824.27,90,1,2,0.41,4
-107,0,824.4,90,1,2,0.44,4
-107,0,824.38,90,1,2,0.42,4
-83,0,2225.34,600,1,1,0,2
-107,0,824.39,90,1,2,0.42,4
-107,0,824.49,90,1,2,0.41,4
-107,0,849.08,90,1,2,0.45,4
-107,0,835.78,90,1,2,0.41,4
-85,0,2225.34,600,1,1,0,3
-107,0,836.21,90,1,2,0.49,4
-107,0,836.33,90,1,2,0.43,4
-107,0,836.25,90,1,2,0.45,4
-107,0,836.46,90,1,2,0.48,4
-75,0,2225.34,600,1,1,0,3
-107,0,835.73,90,1,2,0.43,4
-107,0,835.7,90,1,2,0.41,4
-81,0,7272.27,279.28,0,1,0,2
-107,0,835.64,90,1,2,0.42,4
-107,0,835.27,90,1,2,0.41,4
-107,0,834.98,90,1,2,0.48,4
-105,0,834.95,90,1,2,0.45,4
-105,0,834.85,90,1,2,0.42,4
-85,29.65999985,4702.64,600,1,1,0,3
-105,0,834.9,90,1,2,0.42,4
-105,0,834.83,90,1,2,0.4,4
-105,0,835.19,90,1,2,0.47,4
-105,0,835.26,90,1,2,0.47,4
-83,29.65999985,9341.13,600,1,1,0,2
-105,0,835.26,90,1,2,0.46,4
-65,9.850000381,192.45,60,1,1,3.65,4
-107,0,834.93,90,1,2,0.43,4
-107,0,834.61,90,1,2,0.66,4
-107,0,834.58,90,1,2,0.42,4
-81,10.44999981,706.81,60,1,1,3.99,4
-81,19,1991.84,600,1,0,0,1
-107,0,834.54,90,1,2,0.62,4
-138,24.23999977,275.89,89.2,0,2,0,4
-107,0,834.49,90,1,2,0.55,4
-107,0,834.47,90,1,2,0.41,4
-107,0,834.44,90,1,2,0.48,4
-105,0,834.43,90,1,2,0.43,4
-77,30.06999969,5554.58,600,1,0,0,3
-105,0,834.22,90,1,2,0.38,4
-105,0,834.25,90,1,2,0.4,4
-67,0.2800000012,205.56,60,1,1,3.97,3
-105,0,834.31,90,1,2,0.4,4
-105,0,834.3,90,1,2,0.42,4
-75,26.87000084,8191.18,600,1,0,0,3
-105,0,834.1,90,1,2,0.41,4
-105,0,834.09,90,1,2,0.43,4
-105,0,833.99,90,1,2,0.41,4
-83,4.03000021,396.11,60,1,1,3.9,3
-105,0,834,90,1,2,0.4,4
-83,29.98999977,142.06,599.99,1,1,0,4
-105,0,834.09,90,1,2,0.41,4
-105,0,834.22,90,1,2,0.61,4
-105,0,834.37,90,1,2,0.4,4
-105,0,834.49,90,1,2,0.46,4
-73,0,80.86,60,1,1,3.93,1
-79,28.23999977,15829.55,600,1,1,0,2
-105,0,834.54,90,1,2,0.45,4
-105,0,834.49,90,1,2,0.41,4
-105,0,834.42,90,1,2,0.45,4
-105,0,811.09,90,1,2,0.41,4
-85,29.98999977,2152.71,600,1,0,0,1
-75,6.340000153,143.07,60,1,1,3.84,4
-105,0,827.01,90,1,2,0.38,4
